PlateID,Row,Column,Organism,Species,id,Tissue,Comments,QC,pop,Region,Subregion,lat,lon
2,D,1,Pocillopora,Meandrina,P ver 019,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,E,1,Pocillopora,Meandrina,P ver 020,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,F,1,Pocillopora,Meandrina,P ver 022,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,G,1,Pocillopora,Meandrina,P ver 023,unknown,none,Pass,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,H,1,Pocillopora,Meandrina,P ver 024,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,A,2,Pocillopora,Meandrina,P ver 025,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,B,2,Pocillopora,Meandrina,P ver 026,unknown,none,Fail,Saumarez,Coral Sea,Coral Sea,21.88607,153.64764
2,C,2,Pocillopora,Meandrina,P ver 044,unknown,none,Pass,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
2,D,2,Pocillopora,Meandrina,P ver 047,unknown,none,Fail,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
2,E,2,Pocillopora,Meandrina,P ver 048,unknown,none,Fail,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
2,F,2,Pocillopora,Meandrina,P ver 049,unknown,none,Fail,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
2,G,2,Pocillopora,Meandrina,P ver 051,unknown,none,Fail,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
2,H,2,Pocillopora,Meandrina,P ver 054,unknown,none,Fail,Wreck,Coral Sea,Coral Sea,22.19267,155.33405
2,A,3,Pocillopora,Meandrina,P ver 372,unknown,none,Pass,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
2,B,3,Pocillopora,Meandrina,P ver 373,unknown,none,Downshift,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
2,C,3,Pocillopora,Meandrina,P ver 376,unknown,none,Downshift,Bougainville,Coral Sea,Coral Sea,15.49273,147.08638
