PlateID,Row,Column,Organism,Species,id,Tissue,Comments,pop,Region,lat,lon
2,F,4,Pocillopora,Verrucosa,P ver 101,unknown,none,Marion,Coral Sea,18.98541,152.34488
2,G,4,Pocillopora,Verrucosa,P ver 103,unknown,none,Marion,Coral Sea,18.98541,152.34488
2,H,4,Pocillopora,Verrucosa,P ver 109,unknown,none,Marion,Coral Sea,18.98541,152.34488
2,A,5,Pocillopora,Verrucosa,P ver 110,unknown,none,Marion,Coral Sea,18.98541,152.34488
2,B,5,Pocillopora,Verrucosa,P ver 111,unknown,none,Marion,Coral Sea,18.98541,152.34488
2,C,5,Pocillopora,Verrucosa,P ver 113,unknown,none,Marion,Coral Sea,18.98541,152.34488
2,D,5,Pocillopora,Verrucosa,P ver 281,unknown,none,Holmes,Coral Sea,16.5045,147.99681
2,E,5,Pocillopora,Verrucosa,P ver 282,unknown,none,Holmes,Coral Sea,16.5045,147.99681
2,F,5,Pocillopora,Verrucosa,P ver 285,unknown,none,Holmes,Coral Sea,16.5045,147.99681
2,G,5,Pocillopora,Verrucosa,P ver 287,unknown,none,Holmes,Coral Sea,16.5045,147.99681
2,H,5,Pocillopora,Verrucosa,P ver 289,unknown,none,Holmes,Coral Sea,16.5045,147.99681
2,A,6,Pocillopora,Verrucosa,P ver 293,unknown,none,Holmes,Coral Sea,16.5045,147.99681
2,B,6,Pocillopora,Verrucosa,P ver 294,unknown,none,Holmes,Coral Sea,16.5045,147.99681
2,C,6,Pocillopora,Verrucosa,P ver 210,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,D,6,Pocillopora,Verrucosa,P ver 212,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,E,6,Pocillopora,Verrucosa,P ver 215,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,F,6,Pocillopora,Verrucosa,P ver 217,unknown,none,Lihou,Coral Sea,17.59707,151.48956
2,G,6,Pocillopora,Verrucosa,P ver 218,unknown,none,Lihou,Coral Sea,17.59707,151.48956
